Enfermedad,Descripcion
fibromialgia,"La fibromialgia es un trastorno caracterizado por dolor muscular generalizado, fatiga constante y dificultades para dormir. También puede causar problemas de memoria y concentración."
celiaquía,"La celiaquía es una enfermedad autoinmune que afecta al intestino delgado y se desencadena por el consumo de gluten. Los síntomas incluyen dolor abdominal, diarrea frecuente, pérdida de peso y hinchazón abdominal."
hipotiroidismo,"El hipotiroidismo es una condición en la que la glándula tiroides no produce suficientes hormonas. Los síntomas incluyen fatiga, aumento de peso inexplicable, piel seca y caída del cabello."
hipertiroidismo,"El hipertiroidismo es una condición en la que la glándula tiroides produce demasiadas hormonas. Los síntomas incluyen ansiedad, pérdida de peso inexplicable, temblores, palpitaciones y fatiga."
lupus,"El lupus es una enfermedad autoinmune que puede afectar varias partes del cuerpo, incluyendo la piel, las articulaciones y los riñones. Los síntomas incluyen una erupción en forma de mariposa en la cara, dolor articular, fiebre recurrente y fatiga extrema."
endometriosis,"La endometriosis es una condición en la que el tejido que normalmente recubre el útero crece fuera de él. Los síntomas incluyen dolor pélvico severo, períodos dolorosos e infertilidad."
síndrome de fatiga crónica,"El síndrome de fatiga crónica es una enfermedad caracterizada por fatiga profunda que no mejora con el descanso. También puede incluir dolor de garganta, problemas de concentración y sueño no reparador."
EPOC,"La Enfermedad Pulmonar Obstructiva Crónica (EPOC) es una enfermedad pulmonar que causa dificultad para respirar, tos crónica y producción excesiva de flema. En casos graves, puede llevar a insuficiencia respiratoria."
síndrome del intestino irritable,"El síndrome del intestino irritable es un trastorno gastrointestinal que causa dolor abdominal recurrente, diarrea, estreñimiento y hinchazón abdominal."
celulitis bacteriana,"La celulitis bacteriana es una infección de la piel causada por bacterias. Los síntomas incluyen enrojecimiento, hinchazón, dolor en la zona afectada y fiebre."
hemocromatosis,"La hemocromatosis es un trastorno en el que el cuerpo absorbe demasiado hierro. Los síntomas incluyen fatiga, dolor articular, oscurecimiento de la piel y problemas hepáticos."
sífilis,"La sífilis es una infección bacteriana de transmisión sexual que comienza con úlceras en los genitales y puede progresar a una erupción cutánea, fiebre y dolor de garganta si no se trata."
